train_loss,accuracy,f1,epoch,created_at,val_loss,val_acc,val_f1
0.6239396929740906,0.953125,0.976,0,2019-12-09 21:16:37.257266,,,
0.1934591680765152,1.0,1.0,0,2019-12-09 21:16:42.022162,,,
0.06856432557106018,0.5,0.9766240157480315,0,2019-12-09 21:16:47.241025,,,
0.019477523863315582,1.0,1.0,0,2019-12-09 21:16:52.204428,,,
0.2677162289619446,0.5,0.9533730158730158,0,2019-12-09 21:16:57.104782,,,
0.07864969223737717,0.5,0.9766240157480315,0,2019-12-09 21:17:01.966945,,,
0.013963446021080017,1.0,1.0,0,2019-12-09 21:17:06.718513,,,
0.021003400906920433,1.0,1.0,0,2019-12-09 21:17:11.474057,,,
,,,0,2019-12-09 21:17:18.737603,0.05235222727060318,0.699999988079071,0.9826997518539429
0.19033822417259216,0.5,0.93025,1,2019-12-09 21:17:19.250153,,,
0.022276107221841812,0.5,0.9766240157480315,1,2019-12-09 21:17:24.238452,,,
0.016113052144646645,0.5,0.9766240157480315,1,2019-12-09 21:17:29.144137,,,
0.07063628733158112,0.5,0.9766240157480315,1,2019-12-09 21:17:34.086188,,,
0.004412627313286066,1.0,1.0,1,2019-12-09 21:17:39.007876,,,
0.0026915897615253925,1.0,1.0,1,2019-12-09 21:17:43.799995,,,
0.0014638620195910335,1.0,1.0,1,2019-12-09 21:17:48.732333,,,
0.0025025736540555954,1.0,1.0,1,2019-12-09 21:17:53.670098,,,
,,,1,2019-12-09 21:18:01.061212,0.04296033829450607,0.6000000238418579,0.9883027076721191
0.02080760896205902,0.5,0.9766240157480315,2,2019-12-09 21:18:01.589075,,,
0.0016580173978582025,1.0,1.0,2,2019-12-09 21:18:06.480153,,,
0.0020214382093399763,1.0,1.0,2,2019-12-09 21:18:11.292183,,,
0.0026546441949903965,1.0,1.0,2,2019-12-09 21:18:16.147213,,,
0.008934195153415203,1.0,1.0,2,2019-12-09 21:18:21.011378,,,
0.021660583093762398,0.5,0.9766240157480315,2,2019-12-09 21:18:25.850557,,,
0.002573983045294881,1.0,1.0,2,2019-12-09 21:18:30.747393,,,
0.0008877051877789199,1.0,1.0,2,2019-12-09 21:18:35.779230,,,
,,,2,2019-12-09 21:18:43.395089,0.04372874274849892,0.6992063522338867,0.9875246286392212
0.04316601902246475,0.5,0.9766240157480315,3,2019-12-09 21:18:43.897109,,,
0.004462826531380415,1.0,1.0,3,2019-12-09 21:18:48.980360,,,
0.0009024453465826809,1.0,1.0,3,2019-12-09 21:18:53.989543,,,
0.004138453397899866,1.0,1.0,3,2019-12-09 21:18:58.966823,,,
0.0031688811723142862,1.0,1.0,3,2019-12-09 21:19:03.963512,,,
0.001416904153302312,1.0,1.0,3,2019-12-09 21:19:09.016057,,,
0.0027684590313583612,1.0,1.0,3,2019-12-09 21:19:14.058546,,,
0.004377615638077259,1.0,1.0,3,2019-12-09 21:19:19.075055,,,
,,,3,2019-12-09 21:19:26.565342,0.051402121782302856,0.5965517163276672,0.9865635633468628
0.0005308112013153732,1.0,1.0,4,2019-12-09 21:19:27.056330,,,
0.001286964979954064,1.0,1.0,4,2019-12-09 21:19:31.970708,,,
0.00016512766887899488,1.0,1.0,4,2019-12-09 21:19:36.876353,,,
0.0008300688932649791,1.0,1.0,4,2019-12-09 21:19:42.008411,,,
0.0007412940030917525,1.0,1.0,4,2019-12-09 21:19:47.166203,,,
0.10775186121463776,0.8333333333333333,0.9828760162601625,4,2019-12-09 21:19:52.211429,,,
0.000763889926020056,1.0,1.0,4,2019-12-09 21:19:57.493576,,,
0.007141720503568649,1.0,1.0,4,2019-12-09 21:20:02.618738,,,
,,,4,2019-12-09 21:20:10.369742,0.06327064335346222,0.6968749761581421,0.9839298129081726
0.0007833974668756127,1.0,1.0,5,2019-12-09 21:20:10.868600,,,
0.0008367299451492727,1.0,1.0,5,2019-12-09 21:20:15.887527,,,
