train_loss,accuracy,f1,epoch,created_at,val_loss
0.6959993243217468,0.5,0.6666666666666666,0,2019-12-09 02:35:29.101034,
0.1506577730178833,0.5,0.9766240157480315,0,2019-12-09 02:35:33.912662,
0.055458907037973404,0.5,0.9766240157480315,0,2019-12-09 02:35:38.418124,
0.009878651238977909,1.0,1.0,0,2019-12-09 02:35:42.890595,
0.08171460032463074,0.5,0.9766240157480315,0,2019-12-09 02:35:47.348226,
0.006879539228975773,1.0,1.0,0,2019-12-09 02:35:51.797076,
0.05022408440709114,0.5,0.9766240157480315,0,2019-12-09 02:35:56.211864,
0.006874710787087679,1.0,1.0,0,2019-12-09 02:36:00.639427,
,,,0,2019-12-09 02:36:07.491800,0.03752833232283592
0.01646370440721512,0.5,0.9766240157480315,1,2019-12-09 02:36:07.946905,
0.0031412893440574408,1.0,1.0,1,2019-12-09 02:36:12.330095,
0.003138690022751689,1.0,1.0,1,2019-12-09 02:36:16.858927,
0.003760805819183588,1.0,1.0,1,2019-12-09 02:36:21.356585,
0.004241675604134798,1.0,1.0,1,2019-12-09 02:36:25.800367,
0.00626754155382514,1.0,1.0,1,2019-12-09 02:36:30.222427,
0.006659041158854961,1.0,1.0,1,2019-12-09 02:36:34.722540,
0.004321850836277008,1.0,1.0,1,2019-12-09 02:36:39.205323,
,,,1,2019-12-09 02:36:46.003803,0.038305528461933136
0.017928872257471085,0.5,0.9766240157480315,2,2019-12-09 02:36:46.441502,
0.06507432460784912,0.5,0.9766240157480315,2,2019-12-09 02:36:50.835313,
0.06155657395720482,0.5,0.9766240157480315,2,2019-12-09 02:36:55.286194,
0.003622304415330291,1.0,1.0,2,2019-12-09 02:36:59.756866,
0.0034867350477725267,1.0,1.0,2,2019-12-09 02:37:04.277590,
0.005413693375885487,1.0,1.0,2,2019-12-09 02:37:08.732063,
0.005423653870820999,1.0,1.0,2,2019-12-09 02:37:13.185053,
0.002734098117798567,1.0,1.0,2,2019-12-09 02:37:17.686673,
,,,2,2019-12-09 02:37:24.483549,0.059197358787059784
